name,insight,transformed,huntStart,weaponName,weaponDamage,weaponWeight,trickWeapon
Gascoigne 26,94,false,2018-04-05,Blade of Mercy,396,18.8,true
Church 433,4,true,2016-04-08,Boom Hammer,358,1.6,true
Celestial 430,28,false,2024-05-26,Saw Cleaver,438,20.3,false
Gilbert 285,19,true,2020-02-03,Rakuyo,99,9.6,false
Workshop 271,5,false,2023-02-13,Threaded Cane,332,8.0,false
Executioner 197,90,true,2015-11-08,Burial Blade,90,21.5,true
Yuria 285,58,false,2017-06-12,Hunters Bow,393,7.4,true
Workshop 651,21,true,2017-08-13,Chikage,377,17.5,true
Iosefka 864,98,true,2018-01-26,Whirligig Saw,255,7.4,true
Executioner 898,91,false,2018-11-16,Rakuyo,379,12.0,false
Henryk 253,95,false,2024-07-19,Rakuyo,235,6.3,true
Amygdala 506,11,true,2016-03-21,Kirkhammer,455,17.3,true
Yuria 391,76,false,2023-05-18,Saw Cleaver,398,18.3,false
Gilbert 115,37,false,2017-08-01,Chikage,306,19.3,true
Moon 862,81,true,2017-06-25,Kirkhammer,326,23.9,true
Workshop 332,62,true,2016-06-27,Burial Blade,172,2.4,true
Simon 750,62,true,2023-03-05,Holy Moonlight Sword,331,5.0,false
Micolash 952,69,true,2019-07-22,Beast Cutter,274,22.6,false
Gascoigne 254,28,true,2020-01-19,Stake Driver,167,15.1,true
Alfred 725,80,true,2018-02-02,Whirligig Saw,86,13.3,false
Oedon 220,69,true,2024-10-16,Beasthunter Saif,451,12.4,false
Ludwig 97,12,false,2020-07-14,Logarius Wheel,492,18.5,true
Djura 413,93,false,2016-04-07,Hunters Bow,324,11.8,false
Laurence 286,59,true,2016-08-26,Stake Driver,100,2.2,true
Simon 949,96,true,2017-07-16,Holy Moonlight Sword,159,21.8,true
Logarius 389,0,false,2019-08-10,Tonitrus,406,24.0,false
Yamamura 195,37,true,2015-10-24,Stake Driver,81,19.0,true
Djura 599,61,true,2015-09-03,Kirkhammer,85,15.3,true
Patches 123,72,true,2024-10-02,Simon's Bowblade,91,11.1,false
Scholar 210,85,false,2018-05-13,Ludwigs Holy Blade,393,16.5,false
Iosefka 952,96,true,2015-08-20,Bloodletter,101,2.8,true
Amygdala 272,16,false,2016-04-12,Burial Blade,130,11.5,false
Dream 827,83,true,2025-09-10,Blade of Mercy,499,4.2,true
Valtr 761,70,true,2019-05-20,Hunters Bow,417,9.2,false
Amygdala 501,32,true,2016-11-14,Chikage,72,1.1,true
Scholar 166,94,false,2023-12-14,Stake Driver,54,3.7,true
Celestial 37,47,true,2021-03-02,Burial Blade,236,22.6,true
Adella 216,87,true,2025-02-12,Stake Driver,497,10.8,true
Clerk 886,20,true,2021-01-06,Whirligig Saw,450,23.3,true
Hunter 164,89,true,2021-01-28,Holy Moonlight Sword,163,5.8,false
Adella 313,29,true,2015-11-07,Rakuyo,218,7.7,true
Hunter 360,82,false,2025-09-11,Saw Cleaver,109,22.0,false
Laurence 595,33,true,2016-10-14,Beast Cutter,423,19.9,false
Workshop 524,14,false,2024-04-09,Hunter Axe,412,11.5,true
Viola 442,8,false,2024-06-22,Blade of Mercy,418,22.6,false
Griggs 335,51,false,2023-03-07,Tonitrus,390,23.6,true
Dream 583,38,false,2023-01-10,Burial Blade,157,11.3,false
Rom 453,56,true,2023-08-26,Kirkhammer,387,3.0,false
Simon 839,96,true,2025-05-08,Hunters Bow,125,1.6,true
Mergo 626,98,true,2022-07-21,Bloodletter,149,18.2,false
Oedon 410,31,true,2025-12-01,Blade of Mercy,448,11.2,true
Ebrietas 476,6,true,2016-08-05,Logarius Wheel,391,13.7,false
Willem 628,92,false,2023-08-06,Holy Moonlight Sword,280,7.2,true
Hunter 785,99,false,2025-04-09,Logarius Wheel,89,18.1,true
Hunter 344,40,true,2017-03-08,Rakuyo,405,4.7,true
Alfred 425,52,false,2023-08-14,Hunter Axe,155,21.0,false
Church 969,89,true,2024-07-16,Saw Cleaver,230,8.2,false
Griggs 552,95,true,2022-04-09,Tonitrus,298,1.7,false
Patches 742,21,false,2017-10-18,Saw Cleaver,251,15.2,true
Simon 659,54,true,2022-03-02,Chikage,244,8.9,false
Iosefka 346,97,false,2019-07-09,Threaded Cane,290,1.5,true
Adella 230,83,true,2025-01-25,Saw Cleaver,176,5.8,true
Dream 157,30,true,2022-11-04,Bloodletter,161,12.2,false
Viola 172,77,true,2017-05-04,Bloodletter,63,23.3,false
Patches 965,91,true,2016-10-23,Beasthunter Saif,102,17.7,false
Workshop 825,15,true,2020-09-14,Beast Cutter,85,13.1,false
Gehrman 870,53,false,2016-07-12,Logarius Wheel,412,4.7,true
Ebrietas 989,83,false,2024-09-25,Holy Moonlight Sword,288,11.5,false
Iosefka 873,31,true,2019-08-08,Logarius Wheel,341,15.6,false
Gilbert 30,63,false,2017-08-07,Beast Cutter,458,7.2,false
Workshop 719,35,true,2023-04-03,Beasthunter Saif,418,10.8,true
Mergo 662,91,false,2022-01-03,Burial Blade,163,10.7,true
Moon 680,74,false,2022-09-17,Beast Cutter,267,24.9,false
Adella 720,58,false,2019-05-08,Blade of Mercy,419,5.6,true
Celestial 974,97,true,2018-04-24,Holy Moonlight Sword,191,18.4,false
Valtr 853,24,false,2018-06-06,Burial Blade,57,18.0,true
Hunter 47,6,false,2017-11-28,Holy Moonlight Sword,102,21.9,false
Mergo 491,56,false,2017-01-09,Holy Moonlight Sword,108,20.7,false
Oedon 76,73,true,2017-03-26,Bloodletter,205,3.0,true
Gascoigne 572,97,false,2024-10-26,Simon's Bowblade,165,19.6,false
Willem 931,56,false,2024-07-10,Bloodletter,367,2.4,true
Micolash 641,27,false,2025-02-06,Beasthunter Saif,138,14.2,true
Gehrman 419,57,false,2019-01-08,Burial Blade,411,7.8,false
Alfred 704,29,false,2025-10-22,Hunters Bow,267,3.8,true
Yamamura 931,34,true,2016-01-06,Burial Blade,354,19.0,false
Willem 128,59,false,2021-05-17,Stake Driver,302,11.5,true
Gilbert 753,41,false,2015-02-08,Bloodletter,350,23.8,false
Executioner 42,97,true,2022-09-21,Logarius Wheel,192,5.4,false
Oedon 993,11,false,2020-07-11,Whirligig Saw,393,3.5,true
Gilbert 422,88,false,2019-11-13,Stake Driver,68,11.9,false
Scholar 332,14,false,2023-01-22,Stake Driver,286,10.9,true
Ebrietas 371,79,false,2025-08-25,Hunter Axe,154,7.4,true
Beast 449,89,false,2016-01-21,Simon's Bowblade,459,6.7,true
Moon 565,1,false,2016-04-27,Blade of Mercy,286,23.7,true
Oedon 956,91,false,2023-12-09,Tonitrus,477,12.6,false
Clerk 468,70,true,2021-04-20,Boom Hammer,432,22.1,true
Hunter 792,53,false,2023-05-27,Saw Cleaver,194,18.4,false
Yamamura 458,68,false,2020-06-18,Stake Driver,243,11.9,false
Ludwig 715,30,false,2018-07-02,Whirligig Saw,431,12.4,false
Yuria 680,83,true,2022-01-05,Boom Hammer,352,9.0,true
